Time,Speed1,E1,N1,Lon1,Lat1,Alt1,Speed2,E2,N2,Lon2,Lat2,Alt2,Speed3,E3,N3,Lon3,Lat3,Alt3,Speed4,E4,N4,Lon4,Lat4,Alt4,Speed5,E5,N5,Lon5,Lat5,Alt5,Speed6,E6,N6,Lon6,Lat6,Alt6,IVS1,IVS2,IVS3,IVS4,IVS5
1.2,11.12805588,-116.7828627,-81.07436279,16.84197654,46.8942927,244.511,11.20356821,-125.4890957,-62.95562132,16.84186229,46.89445569,244.105,11.31489464,-134.4380543,-45.52486818,16.84174486,46.89461249,244.835,11.29620603,-138.4656666,-31.32837686,16.84169201,46.89474019,245.019,11.17790082,-141.4525925,-14.48016118,16.84165282,46.89489175,244.841,11.22290428,-142.5607865,9.653252668,16.84163828,46.89510883,245.481,16.26246514,16.76169013,10.15208178,12.70082583,18.83571945
1.3,11.12791628,-116.1314436,-81.98515821,16.84198509,46.89428451,244.511,11.20235383,-124.9794782,-63.92846065,16.84186898,46.89444694,244.462,11.32149557,-134.0757953,-46.60100971,16.84174962,46.89460281,244.985,11.29762293,-138.2078173,-32.43012339,16.8416954,46.89473028,245.019,11.18387727,-141.3496133,-15.59104044,16.84165417,46.89488175,244.841,11.23267688,-142.6062177,8.53402066,16.84163768,46.89509877,245.376,16.26855215,16.73790601,10.15633677,12.71956085,18.83464052
1.4,11.12807076,-115.4729934,-82.89109621,16.84199373,46.89427636,244.511,11.20060037,-124.4513298,-64.90231426,16.84187591,46.89443818,244.462,11.32685416,-133.7029352,-47.67351726,16.84175451,46.89459316,244.985,11.30060192,-137.9410967,-33.53008158,16.8416989,46.89472038,245.019,11.18924643,-141.236912,-16.7006953,16.84165565,46.89487177,244.841,11.24122772,-142.6433277,7.414174347,16.84163719,46.89508869,245.376,16.26543767,16.72359588,10.16010168,12.73896191,18.83272214
1.5,11.12851933,-114.8076031,-83.7921305,16.84200246,46.89426826,244.209,11.19830783,-123.9061057,-65.87649731,16.84188307,46.89442942,244.462,11.33097042,-133.3194985,-48.7423116,16.84175954,46.89458354,244.6395,11.30514303,-137.6654218,-34.62816737,16.84170251,46.89471051,244.404,11.19400829,-141.1144504,-17.8090882,16.84165725,46.8948618,244.841,11.24855678,-142.6721539,6.293629885,16.84163681,46.89507861,245.376,16.25414024,16.71767944,10.16339736,12.75896827,18.8298762
1.6,11.12926197,-114.1353574,-84.68821163,16.84201128,46.8942602,244.209,11.19547621,-123.3451675,-66.8503491,16.84189043,46.89442066,244.462,11.33384434,-132.9255204,-49.80731848,16.84176471,46.89457396,244.6395,11.31124624,-137.3807171,-35.72429621,16.84170625,46.89470065,244.404,11.19816286,-140.9821959,-18.91617899,16.84165899,46.89485184,244.841,11.25466407,-142.6927298,5.172321863,16.84163654,46.89506853,245.376,16.23565023,16.71910578,10.16624705,12.77952292,18.82603248
1.7,11.13029869,-113.4563344,-85.57928717,16.84202019,46.89425218,244.209,11.1921055,-122.7697857,-67.82323307,16.84189798,46.8944119,244.462,11.33547592,-132.5210464,-50.86846844,16.84177002,46.89456442,244.6395,11.31891155,-137.0869149,-36.81838308,16.8417101,46.8946908,244.757,11.20171013,-140.8401217,-20.02192505,16.84166085,46.8948419,244.929,11.25954959,-142.7050858,4.050202587,16.84163638,46.89505843,245.376,16.21092504,16.72685505,10.16867594,12.80057245,18.82113783
1.8,11.13140566,-112.7706063,-86.46530184,16.84202919,46.89424421,244.444,11.18802254,-122.1811421,-68.79453687,16.8419057,46.89440317,244.462,11.33586517,-132.1061314,-51.92569653,16.84177546,46.89455491,244.7765,11.32688495,-136.7839547,-37.91034253,16.84171408,46.89468098,244.757,11.20359966,-140.6882067,-21.1262814,16.84166285,46.89483196,244.929,11.26342499,-142.7092489,2.927241381,16.84163633,46.89504833,245.3045,16.18088534,16.73994079,10.17071071,12.82206684,18.81515532
1.9,11.13235903,-112.0782394,-87.34619772,16.84203828,46.89423629,244.444,11.18305414,-121.5803329,-69.76367243,16.84191359,46.89439445,244.348,11.33501207,-131.6808395,-52.97894211,16.84178104,46.89454543,244.7765,11.33391242,-136.4717833,-39.00008875,16.84171818,46.89467118,244.757,11.20278103,-140.5264349,-22.22920076,16.84166497,46.89482204,244.929,11.26650194,-142.7052429,1.803423868,16.84163638,46.89503822,245.3045,16.14641217,16.75741253,10.1723791,12.84395938,18.8080635
2,11.13315879,-111.3792945,-88.22191438,16.84204745,46.89422841,244.444,11.17720029,-120.968371,-70.73007601,16.84192162,46.89438576,244.348,11.33291664,-131.2452438,-54.02814864,16.84178676,46.894536,244.7765,11.33999397,-136.1503545,-40.0875356,16.84172239,46.8946614,244.757,11.19925422,-140.3547954,-23.3306337,16.84166722,46.89481213,244.929,11.26878043,-142.6930885,0.678751266,16.84163654,46.89502811,245.3045,16.10834458,16.77835864,10.17370947,12.86620649,18.7998555
2.1,11.13380496,-110.6738274,-89.09238904,16.84205671,46.89422058,244.183,11.17046101,-120.346189,-71.69320824,16.84192978,46.89437709,244.348,11.33099604,-130.7994255,-55.07326345,16.84179261,46.89452659,244.7765,11.34512958,-135.8196291,-41.17259669,16.84172673,46.89465164,244.757,11.19301924,-140.1732826,-24.43052871,16.8416696,46.89480224,244.929,11.27026047,-142.6728032,-0.446760321,16.84163681,46.89501798,245.3045,16.067478,16.80190919,10.17473044,12.88876758,18.79053828
2.2,11.13429753,-109.9618888,-89.95755676,16.84206605,46.8942128,244.183,11.16283628,-119.7146413,-72.65255417,16.84193807,46.89436846,244.348,11.33066742,-130.3434738,-56.11423748,16.84179859,46.89451723,244.7765,11.34931926,-135.4795745,-42.25518538,16.8417312,46.8946419,244.835,11.18407609,-139.9818954,-25.52883232,16.84167212,46.89479236,244.967,11.27094205,-142.6444015,-1.573080615,16.84163718,46.89500785,245.3045,16.02456288,16.82723874,10.17547047,12.9116049,18.78013176
2.3,11.13463649,-109.2435249,-90.81735059,16.84207547,46.89420506,244.183,11.15432612,-119.0745074,-73.60762336,16.84194647,46.89435987,244.683,11.33193078,-129.8774853,-57.1510251,16.84180471,46.8945079,244.7765,11.35256301,-135.1301646,-43.33521487,16.84173578,46.89463218,244.835,11.17242477,-139.7806376,-26.62548918,16.84167476,46.89478249,244.967,11.27082517,-142.6078953,-2.700165871,16.84163766,46.89499771,245.26,15.98030379,16.85356891,10.17595748,12.93468341,18.76866798
2.4,11.13482186,-108.5187776,-91.67170174,16.84208498,46.89419738,244.4395,11.14493051,-118.4264941,-74.55794989,16.84195497,46.89435132,244.683,11.33478612,-129.4015636,-58.18358388,16.84181095,46.89449862,244.595,11.35486083,-134.7713797,-44.41259823,16.84174049,46.89462249,244.835,11.15806528,-139.5695172,-27.72044215,16.84167753,46.89477264,244.967,11.26990983,-142.5632932,-3.827959587,16.84163824,46.89498757,245.26,15.93535879,16.88017072,10.17621858,12.95797062,18.75619029
2.5,11.13485363,-107.7876846,-92.52053972,16.84209458,46.89418974,244.4395,11.13464947,-117.7712385,-75.50309243,16.84196357,46.89434282,244.27,11.33923345,-128.9158188,-59.21187432,16.84181733,46.89448937,244.595,11.35621271,-134.4032062,-45.48724845,16.84174532,46.89461282,244.835,11.14099761,-139.3485466,-28.81363245,16.84168043,46.89476281,244.967,11.26819604,-142.5106012,-4.956393214,16.84163893,46.89497742,245.26,15.890339,16.90636666,10.17627965,12.98143647,18.74275252
